Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
85202,43136,1985,43351,1850,42649,2028,41513,2498,42463,2096,44702,2736
85203,46625,2538,46527,2848,46588,2668,45346,2078,45469,1852,47422,2050
85204,46044,1401,44278,1955,42768,2337,43912,2485,44949,1914,46433,2161
85205,47741,2290,43513,2043,44469,2595,43341,2364,43496,2593,46055,2205
85206,45479,1687,45608,1871,45680,2149,45557,2187,45501,2238,46361,2368
85207,66260,3707,65362,5017,62059,2760,64728,2570,65507,2480,65627,3091
85208,46329,1998,45270,2588,46168,2247,44455,2324,44519,2451,45573,2318
85209,54409,2165,55870,3495,55136,2144,55329,1917,56275,2109,57731,3000
85210,40681,1527,39729,2251,36586,2534,37322,2150,36996,2387,37861,2162
85212,76671,4761,77719,4428,77704,3891,78902,4350,78702,4491,81101,2671
85213,61822,2915,59718,3619,57786,3521,57220,4545,56401,4371,57612,4368
85215,57397,3984,58066,3514,57845,4148,55994,3793,61530,4784,61908,5189
85224,61501,2645,62165,2075,62263,2653,61754,2277,62283,2073,64694,2762
85225,55933,2063,56494,1984,56414,1773,55753,2598,55940,2423,56272,1462
85226,76975,2505,74035,2957,74005,3859,76253,3150,77350,2703,77932,3181
85233,78549,4273,80135,3810,75365,3329,74668,3852,75414,3318,77415,3619
85234,77230,3050,76382,2278,76632,2338,78649,2592,79068,2464,80028,3016
85248,67288,3401,67402,2830,68291,3273,67301,4112,65852,4191,66614,3654
85249,99638,5465,98664,5605,96558,4112,99910,5644,102532,4442,99118,4014
85250,64517,3851,61897,3620,59358,3792,59840,4364,60149,4392,63538,4917
85251,48042,3253,48273,2528,49111,3202,50159,2481,51263,2451,52453,3480
85253,116774,12018,117793,16258,109185,10141,112005,12259,121496,13107,129375,9794
85254,88390,2175,90341,4633,90718,3236,90236,3654,87079,2761,87580,2847
85255,108409,5985,109087,5923,111042,9772,112531,10931,110354,6699,118618,4544
85256,36385,9138,31705,4802,31411,4228,35212,7547,34477,6356,32349,6468
85257,51307,4225,49330,4053,47194,3707,50740,4636,52134,4026,53552,3646
85258,71040,4642,69640,5482,72089,4826,73526,6003,73116,5305,77892,5043
85259,104733,12055,96447,19602,95515,16203,100250,14839,104631,15919,102875,10322
85260,74808,4918,77308,5915,76522,2266,75916,3384,76194,4040,79162,2926
85262,119129,19173,128947,13281,125884,10745,133199,13417,124848,15684,129564,16483
85263,103185,20286,106429,20026,101375,47458,107606,48059,109158,29807,74737,17433
85264,67212,19799,56071,11215,56842,8056,50833,11132,46944,3637,51250,8040
85266,99895,12506,99855,10663,100338,8538,103883,6572,105753,9603,114513,12698
85268,74511,4257,75854,3276,73608,2480,72530,2478,73326,3526,75394,3705
85281,33937,4066,31902,3616,30582,1848,31600,2280,31538,1479,31921,1391
85282,48263,2961,49440,3347,50455,2599,49173,2702,49248,2855,51129,2543
85283,55633,3576,53454,2937,53022,2047,51837,2378,55414,2175,56887,2405
85284,120949,6249,120633,5945,117052,10570,111145,4798,116636,9196,113370,7720
85286,84141,6288,82036,6489,84616,5825,90451,6089,88600,4857,95931,5206
85295,84603,4205,84489,4007,87508,5088,87267,5370,86442,6370,90773,3842
85296,82724,6875,83418,6062,81710,3953,84714,5926,82376,6296,84089,3973
85297,80848,4459,81142,5560,84097,4044,87049,4430,91078,5045,96875,7216
85298,80618,9164,80718,10072,86426,11598,91961,8993,96817,5973,101684,4697
85301,31254,1945,29458,1900,27267,1381,26802,1049,27103,1123,27336,1332
85302,47884,3611,46862,4115,43477,2740,41574,2925,41390,2199,41660,2732
